Name,Team,GS,G,IP,W,L,SV,H,ER,HR,SO,BB,WHIP,K/9,BB/9,ERA,FIP,WAR,RA9-WAR,ADP,FanGraphs ID,Proj Rtg,Mgr,Rd
Jordan Montgomery,NYY,29,29,158,9,7,0,150,69,23,162,47,1.24,9.22,2.67,3.94,3.97,2.7,2.8,207,16511,82.0,Paula,9
Luis Garcia,HOU,29,29,160,11,9,0,146,73,24,171,57,1.26,9.58,3.18,4.10,4.14,2.4,2.4,138.9,23735,80.1,Scott,6
Jon Gray,TEX,31,31,169,11,10,0,161,80,23,172,63,1.33,9.16,3.37,4.26,4.19,2.2,2.3,226.3,14916,77.9,Evans,13
Alek Manoah,TOR,26,26,141,10,7,0,119,60,19,160,51,1.21,10.26,3.26,3.83,4.02,2.2,3.0,90.8,26410,78.6,Jeff,4
Michael Kopech,CHW,23,35,139,9,6,0,115,59,20,180,58,1.24,11.59,3.75,3.82,3.81,2.6,2.5,159,17282,78.3,Justin,9
John Means,BAL,29,29,165,11,11,0,160,80,32,150,38,1.20,8.18,2.07,4.35,4.64,2.4,2.4,215.8,16269,74.2,Jeff,9
Marco Gonzales,SEA,31,31,181,10,11,0,183,90,30,140,49,1.28,6.99,2.43,4.49,4.67,1.8,1.8,333.5,15467,71.6,Scott,11
Noah Syndergaard,LAA,28,28,161,9,8,0,165,77,23,143,42,1.28,7.97,2.36,4.29,4.17,2.8,2.3,200.1,11762,71.6,Evans,10
Zack Greinke,KCR,29,29,172,9,10,0,183,84,25,128,39,1.29,6.73,2.02,4.40,4.28,2.2,2.5,313.5,1943,70.6,Justin,11
Patrick Sandoval,LAA,26,26,143,9,8,0,130,65,20,155,59,1.32,9.75,3.72,4.06,4.19,2.1,2.3,188.9,19447,71.2,Rich,12
Chris Flexen,SEA,29,29,166,9,10,0,171,81,25,133,46,1.31,7.19,2.47,4.37,4.47,1.6,1.8,419.4,13896,69.4,Jeff,11
Cristian Javier,HOU,16,60,152,6,6,0,121,71,24,192,72,1.27,11.37,4.28,4.22,4.30,1.5,1.6,299.1,17606,69.5,Ron,13
Drew Rasmussen,TBR,24,36,136,8,7,0,121,60,17,146,55,1.29,9.64,3.62,3.94,3.96,1.7,2.0,281.1,25385,70.0,John,3
Tarik Skubal,DET,28,28,144,9,9,0,134,67,23,156,48,1.26,9.71,2.99,4.19,4.25,2.0,2.2,191.8,22267,69.4,Myron,8
Corey Kluber,TBR,26,26,142,9,7,0,135,64,20,137,46,1.28,8.69,2.93,4.09,4.18,1.7,2.0,328,2429,69.5,Evans,18
